concept_name,group_norm,is_zeroed
asymmetry,7.504619121551514,False
border_irregularity,7.285277843475342,False
colour_variation,7.451518535614014,False
diameter_large,7.4224724769592285,False
atypical_pigment_network,7.347424507141113,False
blue_white_veil,7.195093154907227,False
atypical_vascular_pattern,7.14050817489624,False
irregular_streaks,7.216123104095459,False
irregular_pigmentation,6.958043575286865,False
irregular_dots_globules,7.37322998046875,False
regression_structures,7.503942489624023,False
symmetric_uniform,6.949459552764893,False
reticular_network,7.219826698303223,False
arborizing_vessels,7.095459461212158,False
blue_grey_ovoid_nests,7.61710786819458,False
ulceration,7.655031204223633,False
scaly_surface,7.247230052947998,False
strawberry_pattern,6.969161510467529,False
milia_like_cysts,7.6406402587890625,False
comedo_like_openings,7.447596549987793,False
cerebriform_surface,7.507122993469238,False
central_white_patch,7.054781436920166,False
red_lacunae,7.619846820831299,False
healthy_skin,7.15504264831543,False
