concept_name,group_norm,is_zeroed
asymmetry,6.6895952224731445,False
border_irregularity,6.775417804718018,False
colour_variation,6.984647750854492,False
diameter_large,6.784584045410156,False
atypical_pigment_network,6.664914608001709,False
blue_white_veil,6.552873611450195,False
atypical_vascular_pattern,6.654275417327881,False
irregular_streaks,6.702108860015869,False
irregular_pigmentation,6.207836151123047,False
irregular_dots_globules,6.908185005187988,False
regression_structures,6.916145324707031,False
symmetric_uniform,6.66202974319458,False
reticular_network,6.368062973022461,False
arborizing_vessels,6.289468765258789,False
blue_grey_ovoid_nests,6.999853610992432,False
ulceration,7.0745768547058105,False
scaly_surface,6.4115824699401855,False
strawberry_pattern,6.442907810211182,False
milia_like_cysts,7.096485137939453,False
comedo_like_openings,6.80994176864624,False
cerebriform_surface,6.788108825683594,False
central_white_patch,6.33199405670166,False
red_lacunae,6.967161178588867,False
healthy_skin,6.4566569328308105,False
