,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5,0.129,0.1935,0.0484,0.0484,0.0484,0.0323
bcc,0.12,0.43,0.1,0.1,0.07,0.09,0.09
bkl,0.0917,0.0826,0.445,0.0275,0.2064,0.1376,0.0092
df,0.1071,0.1786,0.0,0.4286,0.0357,0.1429,0.1071
mel,0.0596,0.0642,0.1651,0.0275,0.4679,0.1881,0.0275
nv,0.0441,0.0426,0.0628,0.0883,0.1631,0.5752,0.0239
vasc,0.0,0.0938,0.0,0.0,0.125,0.0625,0.7188
