,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.4677,0.1613,0.1774,0.0645,0.0484,0.0484,0.0323
bcc,0.17,0.33,0.1,0.14,0.07,0.09,0.1
bkl,0.1651,0.0642,0.3624,0.0321,0.2156,0.133,0.0275
df,0.1786,0.0714,0.0,0.3929,0.0357,0.1786,0.1429
mel,0.078,0.0688,0.1927,0.0229,0.4266,0.1835,0.0275
nv,0.0456,0.0404,0.0606,0.0553,0.1668,0.6006,0.0307
vasc,0.0,0.0625,0.0,0.0,0.0938,0.0625,0.7812
