epoch,train_loss,val_loss,val_balanced_acc,lr,r_perp_train,r_perp_val,r_sparse_train
1,1.7860953601082703,1.4549603462219238,0.5169036414085887,0.001,0.29106977123480576,0.302958220243454,177.97171724759616
2,1.4611582769207607,1.3862932920455933,0.5337772874126594,0.001,0.3271780036962949,0.3373080790042877,176.84325643686148
3,1.3644567630138567,1.2825627326965332,0.5565327147486995,0.001,0.34303072782663196,0.34015053510665894,176.30773045466498
4,1.3171722864655948,1.233722448348999,0.5786070317361707,0.001,0.3363170348680936,0.3269374370574951,176.07863147442157
5,1.2719035285463747,1.2399787902832031,0.5743714006926809,0.001,0.3331359796799146,0.32358595728874207,175.93497173602765
6,1.2815797462639902,1.226096272468567,0.5489656489775407,0.001,0.32950720420250523,0.3269170820713043,175.80409475473257
7,1.218073718802594,1.2341865301132202,0.5836601728169182,0.001,0.33153136074543,0.3263605535030365,175.6821517944336
8,1.218123287838639,1.1897085905075073,0.5902016676003675,0.001,0.329768826182072,0.3231908679008484,175.65855759840744
9,1.1887343335177631,1.1928216218948364,0.5689307197403052,0.001,0.3258894280745433,0.3194229304790497,175.62522536057693
10,1.201834989402505,1.1905648708343506,0.5730819126681023,0.001,0.32301562566023606,0.32197901606559753,175.62541609544022
11,1.1806703242233556,1.2183735370635986,0.5728146973411778,0.001,0.32393090770794797,0.32021626830101013,175.6029792198768
12,1.202960533123399,1.185085415840149,0.5873442993115238,0.001,0.3239494309975551,0.3197428286075592,175.57347517747147
13,1.1766699846340831,1.1909403800964355,0.5975491674700574,0.001,0.3270547160735497,0.3175712525844574,175.5458737886869
14,1.1786159283730269,1.2009378671646118,0.5939784434469715,0.001,0.3218781157181813,0.3167598247528076,175.52823638916016
15,1.169303826696859,1.1570210456848145,0.5939380515416117,0.001,0.3211552592424246,0.31560295820236206,175.54202681321365
16,1.1671162655034988,1.1868312358856201,0.5842308856642312,0.001,0.32070426413646114,0.31729909777641296,175.53794273963342
17,1.1425648693126844,1.1922059059143066,0.575996124924971,0.001,0.32479079640828645,0.31671780347824097,175.5603221012996
18,1.1458049005919917,1.1870753765106201,0.5844633219387241,0.001,0.3229806755597775,0.313489705324173,175.59602884145883
19,1.1453153930290396,1.1426094770431519,0.6062074141606405,0.001,0.3209258340872251,0.3152395486831665,175.6299538245568
20,1.141070022982041,1.2005739212036133,0.5620921840059884,0.001,0.31756509840488434,0.3119823932647705,175.6486071073092
21,1.1346906506082544,1.2597453594207764,0.5541516000017823,0.001,0.3174133025682889,0.31653714179992676,175.65872896634616
22,1.1424299382110241,1.2201539278030396,0.5646428146843564,0.001,0.3248003079341008,0.3193950057029724,175.69305478609525
23,1.1296903479802032,1.1554911136627197,0.5965575189800129,0.001,0.3245955923428902,0.3169250786304474,175.72872396615836
24,1.1082297259086138,1.1687110662460327,0.597240012992595,0.001,0.3259521917654918,0.31971073150634766,175.77010756272537
25,1.121368728467995,1.1653878688812256,0.597058009576914,0.001,0.3226928160740779,0.31835123896598816,175.86297959547775
26,1.0870356704198956,1.175117015838623,0.5872023636028068,0.0005,0.3209705249621318,0.318436861038208,175.92518850473257
27,1.084736639872219,1.1551246643066406,0.611557824542026,0.0005,0.3241719454526901,0.31668490171432495,175.97230529785156
28,1.0835443269614948,1.1657423973083496,0.598692566169929,0.0005,0.3179131746292114,0.3148621618747711,176.02383540226862
29,1.0907668943241235,1.157785415649414,0.6034919439954006,0.0005,0.3212463385783709,0.31556209921836853,176.08637061485877
30,1.083892598477024,1.1531054973602295,0.6034594577033053,0.0005,0.31887971323270065,0.3145727515220642,176.11727963961087
31,1.0811005909199254,1.1653906106948853,0.5947927807158485,0.0005,0.3173752897060834,0.314892441034317,176.163696875939
32,1.0664412645997703,1.1724659204483032,0.5992816935302757,0.0005,0.31813975939383876,0.3140263557434082,176.21282900296725
33,1.0740080629616655,1.1650972366333008,0.6012726225823385,0.0005,0.31845585199502796,0.31505778431892395,176.2665023803711
34,1.064010862077371,1.1509582996368408,0.6109977661772777,0.00025,0.3183987530378195,0.31327342987060547,176.30348381629358
35,1.0646177452039638,1.157423734664917,0.5997231461102387,0.00025,0.31842346030932206,0.3127889037132263,176.32350452129657
36,1.0444441275567693,1.1610326766967773,0.6091694980714782,0.00025,0.31608745684990514,0.31267473101615906,176.34508514404297
37,1.0639991114606455,1.1667779684066772,0.5976740073002275,0.00025,0.31974266927975875,0.31357938051223755,176.3601807814378
38,1.0907785883957053,1.164354681968689,0.5993229243284312,0.00025,0.3181337553721208,0.3135393559932709,176.3907752403846
39,1.0802703481529712,1.1679420471191406,0.5948864838182509,0.00025,0.31830320335351503,0.3118967115879059,176.4007591834435
40,1.048257668701815,1.1625670194625854,0.604204798963441,0.000125,0.31821592266743,0.3120501637458801,176.41756967397836
41,1.0633536786754203,1.1578269004821777,0.5994768156170435,0.000125,0.3174372441493548,0.31241023540496826,176.4334171001728
42,1.0500109974120486,1.1579536199569702,0.6037674794079713,0.000125,0.316985078729116,0.31246834993362427,176.44547330416165
