,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5161,0.0968,0.1613,0.0645,0.0484,0.0484,0.0645
bcc,0.12,0.19,0.16,0.17,0.08,0.09,0.19
bkl,0.1376,0.0734,0.3578,0.0229,0.1972,0.1743,0.0367
df,0.1786,0.0,0.0357,0.3929,0.0714,0.1429,0.1786
mel,0.0826,0.0275,0.2156,0.0413,0.3945,0.1835,0.055
nv,0.0501,0.0284,0.0606,0.0793,0.1877,0.5467,0.0471
vasc,0.0,0.0312,0.0,0.0312,0.0938,0.0938,0.75
