,precision,recall,f1-score,support,auc
nv,0.8828502415458938,0.5467464472700074,0.6752886836027714,1337,0.7778983933999132
mel,0.21717171717171718,0.3944954128440367,0.28013029315960913,218,0.7010630224117547
bkl,0.33476394849785407,0.3577981651376147,0.3458980044345898,218,0.7537959554552824
bcc,0.22093023255813954,0.19,0.20430107526881722,100,0.7842110817941953
akiec,0.1951219512195122,0.5161290322580645,0.2831858407079646,62,0.8578675967491615
vasc,0.17777777777777778,0.75,0.2874251497005988,32,0.9097204533876718
df,0.0718954248366013,0.39285714285714285,0.12154696132596685,28,0.8234984385213159
