,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5968,0.1129,0.1452,0.0323,0.0484,0.0323,0.0323
bcc,0.14,0.48,0.06,0.1,0.09,0.07,0.06
bkl,0.156,0.0963,0.3853,0.0229,0.2064,0.1193,0.0138
df,0.1071,0.0714,0.0714,0.3929,0.0357,0.2143,0.1071
mel,0.1284,0.0596,0.133,0.0275,0.4633,0.1697,0.0183
nv,0.0531,0.0471,0.0553,0.0516,0.1518,0.6253,0.0157
vasc,0.0,0.1562,0.0,0.0,0.0625,0.0625,0.7188
