,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5806,0.1129,0.1774,0.0484,0.0323,0.0323,0.0161
bcc,0.18,0.42,0.07,0.15,0.07,0.05,0.06
bkl,0.1239,0.0826,0.4817,0.0367,0.1651,0.1009,0.0092
df,0.1429,0.0357,0.1071,0.3929,0.0357,0.1429,0.1429
mel,0.0917,0.0596,0.1972,0.0321,0.445,0.156,0.0183
nv,0.0396,0.0299,0.0838,0.0718,0.1436,0.6178,0.0135
vasc,0.0,0.0938,0.0,0.0,0.0625,0.0625,0.7812
