,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5645,0.129,0.1774,0.0484,0.0323,0.0323,0.0161
bcc,0.15,0.5,0.06,0.13,0.06,0.05,0.05
bkl,0.1239,0.0872,0.4679,0.0275,0.1881,0.0963,0.0092
df,0.1786,0.0357,0.1071,0.3929,0.0357,0.1071,0.1429
mel,0.1055,0.0596,0.1789,0.0321,0.4541,0.1514,0.0183
nv,0.0479,0.0344,0.08,0.0673,0.1511,0.6058,0.0135
vasc,0.0,0.125,0.0,0.0,0.0625,0.0625,0.75
