,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5484,0.1452,0.1774,0.0484,0.0323,0.0323,0.0161
bcc,0.13,0.5,0.06,0.16,0.06,0.05,0.04
bkl,0.133,0.078,0.4725,0.0275,0.1881,0.0917,0.0092
df,0.1071,0.0357,0.1071,0.4286,0.0357,0.1429,0.1429
mel,0.0917,0.0642,0.1835,0.0321,0.4404,0.1606,0.0275
nv,0.0441,0.0344,0.0808,0.0696,0.1503,0.6081,0.0127
vasc,0.0312,0.0938,0.0,0.0,0.0625,0.0625,0.75
