concept_id,tier,t1_auc_max,t2_auc_max,t3_auc_max,best_template,best_auc
asymmetry,1,0.6694078281891687,0.718197384422071,0.7401861036745319,t3,0.7401861036745319
border_irregularity,1,0.5744336371655395,0.6389946540922915,0.6426383203745788,t3,0.6426383203745788
colour_variation,1,0.6453675109417202,0.6328564556626273,0.6359494266392238,t1,0.6453675109417202
diameter_large,1,0.6086686888730042,0.6058231787498903,0.6272513096434263,t3,0.6272513096434263
atypical_pigment_network,2,0.575884332438696,0.6238972067039106,0.6281610847365429,t3,0.6281610847365429
blue_white_veil,2,0.6351345636844672,0.6068557875134764,0.5859598157404685,t1,0.6351345636844672
atypical_vascular_pattern,2,0.5726595708213356,0.5745130492297802,0.6091632822738176,t3,0.6091632822738176
irregular_streaks,2,0.5679397824169362,0.7409079037725372,0.7085867764508073,t2,0.7409079037725372
irregular_pigmentation,2,0.5998327550720377,0.5842766151800627,0.6013964589332237,t3,0.6013964589332237
irregular_dots_globules,2,0.611039518661303,0.6242602371851416,0.5685302185768283,t2,0.6242602371851416
regression_structures,2,0.5356634435558013,0.5789472116044301,0.6760963065344731,t3,0.6760963065344731
symmetric_uniform,3,0.6719942756134898,0.7396742651835468,0.7331969250212982,t2,0.7396742651835468
reticular_network,3,0.625412828492626,0.6552661518006263,0.6140463120935638,t2,0.6552661518006263
arborizing_vessels,3,0.6707190735131321,0.6494928408938847,0.6046326776395022,t1,0.6707190735131321
blue_grey_ovoid_nests,3,0.5634029613507675,0.6052036459864745,0.5468816622561992,t2,0.6052036459864745
ulceration,3,0.7299977014136305,0.7344672552164608,0.8889139179404666,t3,0.8889139179404666
scaly_surface,3,0.6978200098679848,0.6536400030590865,0.5842851507577997,t1,0.6978200098679848
strawberry_pattern,3,0.5848544837515426,0.6229465698637588,0.6653397077965524,t3,0.6653397077965524
milia_like_cysts,3,0.6869062983000604,0.6474483658819483,0.7867854269624183,t3,0.7867854269624183
comedo_like_openings,3,0.6841913312166221,0.6413519827381019,0.5576308144663334,t1,0.6841913312166221
cerebriform_surface,3,0.6029942320953201,0.6564704451175748,0.6424574401008827,t2,0.6564704451175748
central_white_patch,3,0.6537944944079076,0.732722948459448,0.6776221124008734,t2,0.732722948459448
red_lacunae,3,0.6258107650947573,0.67974838465135,0.8140472359498908,t3,0.8140472359498908
healthy_skin,3,0.7231117785300523,0.6963883161598928,0.5934692667907471,t1,0.7231117785300523
