,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5806,0.1129,0.1774,0.0323,0.0323,0.0323,0.0323
bcc,0.16,0.46,0.07,0.12,0.07,0.07,0.05
bkl,0.1651,0.0917,0.4312,0.0321,0.1651,0.1009,0.0138
df,0.1071,0.0357,0.0714,0.4643,0.0357,0.1786,0.1071
mel,0.1376,0.0642,0.1835,0.0321,0.3991,0.1651,0.0183
nv,0.0524,0.0449,0.0785,0.0733,0.1331,0.5954,0.0224
vasc,0.0,0.125,0.0,0.0,0.0625,0.0625,0.75
