concept_id,range,curvature
scaly_surface,20.382068634033203,0.6312986470702521
reticular_network,17.044708251953125,1.6906064128039935
red_lacunae,16.67230796813965,0.6963688961063296
diameter_large,16.294710159301758,1.2804118622600313
central_white_patch,14.598435401916504,0.9986856469110059
atypical_pigment_network,8.59152889251709,0.7282848893634952
blue_grey_ovoid_nests,8.021626472473145,0.7123273241252891
comedo_like_openings,7.5853166580200195,0.5893041678970644
milia_like_cysts,6.519356727600098,0.5990623983076914
ulceration,5.786919593811035,0.7442586994440804
blue_white_veil,5.672917366027832,0.771012629169157
colour_variation,5.2834038734436035,0.9518559601963592
irregular_pigmentation,5.17040491104126,0.8350527047007759
arborizing_vessels,5.096725940704346,0.6411770476556654
asymmetry,4.904823303222656,0.6103573747379558
cerebriform_surface,4.590907096862793,0.9443082804043336
border_irregularity,3.371607542037964,0.4457667340640401
healthy_skin,3.3682589530944824,0.7427402284135959
strawberry_pattern,2.8518881797790527,0.7312976491419128
symmetric_uniform,2.151520013809204,0.4449958164078398
irregular_dots_globules,1.6079165935516357,0.09675514840599578
regression_structures,1.5269278287887573,0.17418174977991122
atypical_vascular_pattern,1.2095590829849243,0.2846494288618856
irregular_streaks,0.38539204001426697,0.09352832621615544
