epoch,train_loss,val_loss,val_balanced_acc,lr
1,1.8845638254601471,1.4824340343475342,0.48770619191258574,0.001
2,1.5407455443853835,1.4158307313919067,0.5209456801713116,0.001
3,1.4373386793474812,1.31410813331604,0.5300188539159272,0.001
4,1.3885968481517168,1.2557910680770874,0.5671478240903353,0.001
5,1.3561019986650031,1.2677724361419678,0.5673241213140859,0.001
6,1.326732062666723,1.2566639184951782,0.5400452775482474,0.001
7,1.2887565163806542,1.2319839000701904,0.5876380278238855,0.001
8,1.3070644716356865,1.2102347612380981,0.5767249570773265,0.001
9,1.2710934604821893,1.208926796913147,0.5717719035857939,0.001
10,1.2613836007682657,1.2041568756103516,0.5557663686408303,0.001
11,1.2445509963132746,1.2317951917648315,0.5630549237492136,0.001
12,1.2540447626278548,1.20014488697052,0.5860117826640445,0.001
13,1.2283035120672563,1.2016674280166626,0.5822739388903088,0.001
14,1.2243149113295366,1.1827621459960938,0.6030441083964918,0.0005
15,1.2137268997125037,1.1703102588653564,0.5800217832843829,0.0005
16,1.2153312216596444,1.188658356666565,0.5805136037600123,0.0005
17,1.2189579927303833,1.1896053552627563,0.5860730154662372,0.0005
18,1.1954063403141,1.184249758720398,0.5918639153557123,0.0005
19,1.1991028788116083,1.177258014678955,0.6045035715468356,0.0005
20,1.205534502532438,1.183469295501709,0.5932727895841402,0.0005
21,1.1954420466021776,1.1969419717788696,0.5920761732287952,0.0005
22,1.196566774975291,1.1935685873031616,0.592577984291418,0.0005
23,1.1975817685921617,1.1883739233016968,0.5939119180164215,0.0005
24,1.1827908695754672,1.177627682685852,0.6078041386560404,0.0005
25,1.185036698699016,1.1785097122192383,0.6041327238559938,0.0005
26,1.1693848065277488,1.1792200803756714,0.5872520745806062,0.0005
27,1.1740683971732266,1.1701295375823975,0.6103755904899842,0.0005
28,1.1578230879358342,1.1691324710845947,0.6018573456315972,0.0005
29,1.1695412383385109,1.1759626865386963,0.5835103372322507,0.0005
30,1.1850609830349597,1.1681079864501953,0.6089460586825969,0.0005
31,1.1845312059194495,1.1739859580993652,0.5893018142540224,0.0005
32,1.1461087120767885,1.178745985031128,0.6017221335048666,0.0005
33,1.1548410762355792,1.172751545906067,0.5977936301161689,0.0005
34,1.1557179689221924,1.1670438051223755,0.6117149253480193,0.00025
35,1.1562046112623348,1.1703566312789917,0.6051045147933278,0.00025
36,1.139934187878122,1.1763989925384521,0.6005727289277637,0.00025
37,1.1509093791037812,1.173136830329895,0.5978089452772978,0.00025
38,1.1556929130171483,1.178418755531311,0.6036214031899844,0.00025
39,1.1765667051378204,1.1736167669296265,0.6081576284503674,0.00025
40,1.138783561161692,1.175214171409607,0.5919382533983412,0.00025
41,1.1512611502157732,1.173676609992981,0.5968802656573854,0.000125
42,1.1503702253219146,1.1712819337844849,0.6054808295124321,0.000125
43,1.1453416293823324,1.1717462539672852,0.6010049781404595,0.000125
44,1.140544561765709,1.1675059795379639,0.6079571257081934,0.000125
45,1.1495572473198468,1.1705561876296997,0.606714468207403,0.000125
46,1.1434928264731399,1.1761415004730225,0.5996497779495635,0.000125
47,1.1491974657385509,1.1683026552200317,0.6088616464610702,6.25e-05
48,1.1281687907861837,1.1680868864059448,0.6050445152450781,6.25e-05
49,1.1379397869165735,1.1656912565231323,0.6069193928025304,6.25e-05
