,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.4194,0.1774,0.1774,0.0484,0.0968,0.0645,0.0161
bcc,0.13,0.29,0.11,0.17,0.12,0.13,0.05
bkl,0.0826,0.1514,0.3486,0.0229,0.2064,0.1743,0.0138
df,0.1071,0.1071,0.0357,0.5,0.0357,0.1429,0.0714
mel,0.055,0.0917,0.1514,0.0275,0.4817,0.1651,0.0275
nv,0.1025,0.0748,0.0591,0.095,0.1825,0.454,0.0322
vasc,0.0312,0.0312,0.0,0.0625,0.0938,0.0312,0.75
