,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.3548,0.2097,0.2097,0.0806,0.0484,0.0645,0.0323
bcc,0.13,0.3,0.14,0.13,0.06,0.1,0.14
bkl,0.0642,0.0963,0.4679,0.0413,0.1927,0.1284,0.0092
df,0.0357,0.0714,0.0357,0.5714,0.0714,0.1071,0.1071
mel,0.0596,0.0459,0.1972,0.0413,0.4771,0.1468,0.0321
nv,0.0344,0.0262,0.0718,0.1204,0.2027,0.528,0.0165
vasc,0.0,0.0938,0.0,0.0625,0.0625,0.0938,0.6875
