,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5,0.129,0.1935,0.0484,0.0484,0.0484,0.0323
bcc,0.13,0.3,0.14,0.13,0.12,0.07,0.11
bkl,0.1147,0.0642,0.422,0.0275,0.2615,0.1009,0.0092
df,0.1786,0.1071,0.0357,0.3571,0.0714,0.1071,0.1429
mel,0.078,0.0413,0.1697,0.0229,0.5138,0.1376,0.0367
nv,0.0576,0.0307,0.0621,0.0883,0.2229,0.5131,0.0254
vasc,0.0,0.0938,0.0,0.0,0.0938,0.0938,0.7188
