,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.629,0.1129,0.1452,0.0323,0.0323,0.0323,0.0161
bcc,0.2,0.48,0.05,0.08,0.07,0.07,0.05
bkl,0.1468,0.0872,0.4174,0.0229,0.2156,0.1009,0.0092
df,0.1786,0.0357,0.0714,0.3571,0.0357,0.1786,0.1429
mel,0.1147,0.0688,0.1422,0.0321,0.4679,0.156,0.0183
nv,0.0441,0.0366,0.0583,0.0419,0.1593,0.6455,0.0142
vasc,0.0312,0.125,0.0,0.0,0.0938,0.0625,0.6875
