epoch,train_loss,val_loss,val_balanced_acc,lr,r_perp_train,r_perp_val
1,2.16406538772405,1.5318249464035034,0.49490579435296744,0.001,0.12060839482224904,0.20822438597679138
2,1.8369197800215453,1.4756157398223877,0.4995943101588488,0.001,0.10385071371610348,0.16757933795452118
3,1.7295069780555923,1.3522083759307861,0.5342414917916773,0.001,0.09610906415260755,0.16375993192195892
4,1.6723358848822174,1.3046274185180664,0.5454384960557508,0.001,0.0924136283305975,0.15531569719314575
5,1.6168740640848824,1.3030226230621338,0.5497807835281825,0.001,0.09218087821052624,0.1625451147556305
6,1.6209542642282762,1.2988643646240234,0.5359105210464639,0.001,0.08966389785592373,0.15437808632850647
7,1.5602848284313886,1.2855310440063477,0.5573469796331719,0.001,0.08570317465525407,0.14563331007957458
8,1.5493141663614078,1.2423001527786255,0.5816856100930533,0.001,0.08368099566835624,0.16063356399536133
9,1.5176904898888401,1.246461272239685,0.5699969249369212,0.001,0.08362374512048867,0.1468724012374878
10,1.5244576699961063,1.2302610874176025,0.5604605472407376,0.001,0.08207636842360863,0.14581602811813354
11,1.5158661054515379,1.2752759456634521,0.5623072818756472,0.001,0.08235255628824234,0.14185437560081482
12,1.5409335694948685,1.240510106086731,0.5699921212414789,0.001,0.08189716763221301,0.14185930788516998
13,1.5061729378936857,1.2339736223220825,0.5848032751766096,0.001,0.08301109906572562,0.13724711537361145
14,1.5096465435419693,1.252617359161377,0.5743794619330131,0.001,0.08118879651794067,0.12671005725860596
15,1.4950199126826418,1.2050955295562744,0.5755575443141714,0.001,0.08081367554572913,0.12586060166358948
16,1.5011984941877423,1.2296725511550903,0.5924500809406252,0.001,0.08038941742135929,0.11954746395349503
17,1.4761342153075991,1.228200078010559,0.5749263734004089,0.001,0.08025988879112098,0.11742208898067474
18,1.4728781504622883,1.2379363775253296,0.5680011283547957,0.001,0.0789067862698665,0.11906050890684128
19,1.4755398766919194,1.1922177076339722,0.5999591077133983,0.001,0.07945043479020779,0.1157626360654831
20,1.463354543906049,1.2484896183013916,0.5743130122430389,0.001,0.07864314059798534,0.12525270879268646
21,1.4559842698365277,1.2910455465316772,0.5363003868743627,0.001,0.07936074785315074,0.11761364340782166
22,1.4655104869074724,1.2614502906799316,0.5435959769975152,0.001,0.07979015547495621,0.11548878997564316
23,1.4576049252085967,1.2014824151992798,0.5941187133216977,0.001,0.07791653476082362,0.10895848274230957
24,1.4543681594553735,1.2197115421295166,0.5791928725916957,0.001,0.07808891741129068,0.10883775353431702
25,1.4583072672366428,1.2103036642074585,0.5766690266240205,0.001,0.0784320616378234,0.11878623813390732
26,1.4209823842403917,1.2080684900283813,0.5789667263667219,0.0005,0.07706641463133004,0.1037783995270729
27,1.4228034651025419,1.1936832666397095,0.596247839425607,0.0005,0.07647745110667668,0.10013161599636078
28,1.4181203322047893,1.2062216997146606,0.5832810219914514,0.0005,0.07586681814147876,0.09945010393857956
29,1.417096108314056,1.2014267444610596,0.5866163767378413,0.0005,0.07604613155126572,0.10122025012969971
30,1.4151754127095397,1.2038555145263672,0.5934477581872445,0.0005,0.07495396240399434,0.09940267354249954
31,1.4043314247781074,1.196215033531189,0.5899198966745188,0.0005,0.0753935813330687,0.09713782370090485
32,1.3935062219425722,1.20650053024292,0.5972325556635338,0.00025,0.07430888397189286,0.09219072014093399
33,1.4008512290014712,1.1971935033798218,0.5907802103724892,0.00025,0.07442650485497254,0.09194484353065491
34,1.3866103815057078,1.194118857383728,0.5960966452384303,0.00025,0.07399146631360054,0.09329573065042496
