,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.0,1.0,0.0,0.0,0.0,0.0,0.0
bcc,0.0,1.0,0.0,0.0,0.0,0.0,0.0
bkl,0.0,1.0,0.0,0.0,0.0,0.0,0.0
df,0.0,1.0,0.0,0.0,0.0,0.0,0.0
mel,0.0,1.0,0.0,0.0,0.0,0.0,0.0
nv,0.0,1.0,0.0,0.0,0.0,0.0,0.0
vasc,0.0,1.0,0.0,0.0,0.0,0.0,0.0
