,precision,recall,f1-score,support,auc
nv,0.0,0.0,0.0,1337,0.5
mel,0.0,0.0,0.0,218,0.5
bkl,0.0,0.0,0.0,218,0.5
bcc,0.05012531328320802,1.0,0.0954653937947494,100,0.5
akiec,0.0,0.0,0.0,62,0.5
vasc,0.0,0.0,0.0,32,0.5
df,0.0,0.0,0.0,28,0.5
