,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.4677,0.1129,0.1613,0.0645,0.0968,0.0484,0.0484
bcc,0.16,0.18,0.15,0.17,0.07,0.09,0.18
bkl,0.0917,0.0413,0.4266,0.0596,0.2431,0.1055,0.0321
df,0.0714,0.0357,0.0357,0.5,0.0357,0.1429,0.1786
mel,0.0596,0.0367,0.1606,0.0642,0.4587,0.1743,0.0459
nv,0.0546,0.0262,0.0755,0.1279,0.1705,0.4892,0.0561
vasc,0.0,0.0312,0.0,0.0625,0.0625,0.0938,0.75
