,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5645,0.1129,0.1935,0.0484,0.0161,0.0323,0.0323
bcc,0.18,0.37,0.1,0.14,0.06,0.09,0.06
bkl,0.1468,0.078,0.4817,0.0367,0.1193,0.1239,0.0138
df,0.0714,0.0357,0.0714,0.4286,0.0357,0.25,0.1071
mel,0.1055,0.0459,0.2706,0.0459,0.2982,0.211,0.0229
nv,0.0456,0.0314,0.1047,0.0755,0.089,0.6335,0.0202
vasc,0.0,0.125,0.0,0.0,0.0625,0.0625,0.75
