,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5323,0.0968,0.1452,0.0806,0.0484,0.0484,0.0484
bcc,0.17,0.19,0.11,0.16,0.06,0.1,0.21
bkl,0.1514,0.0505,0.3624,0.0275,0.2064,0.1606,0.0413
df,0.25,0.0,0.0,0.3571,0.0714,0.1429,0.1786
mel,0.0917,0.0275,0.211,0.0413,0.3945,0.1789,0.055
nv,0.0591,0.0284,0.0591,0.0778,0.187,0.5408,0.0479
vasc,0.0,0.0,0.0,0.0625,0.0938,0.0938,0.75
