,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5968,0.0968,0.1452,0.0323,0.0645,0.0323,0.0323
bcc,0.15,0.47,0.06,0.08,0.07,0.06,0.11
bkl,0.1376,0.0688,0.4174,0.0229,0.2248,0.1147,0.0138
df,0.1786,0.0357,0.0714,0.3571,0.0714,0.1786,0.1071
mel,0.1101,0.0596,0.1422,0.0275,0.4633,0.1789,0.0183
nv,0.0456,0.0299,0.0598,0.0441,0.1421,0.653,0.0254
vasc,0.0,0.0938,0.0,0.0,0.0312,0.0938,0.7812
