,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5968,0.0968,0.1452,0.0323,0.0645,0.0323,0.0323
bcc,0.15,0.46,0.06,0.08,0.08,0.06,0.11
bkl,0.133,0.0642,0.4174,0.0229,0.2294,0.1193,0.0138
df,0.1786,0.0357,0.0714,0.3571,0.0714,0.1786,0.1071
mel,0.1101,0.0596,0.1376,0.0275,0.4633,0.1835,0.0183
nv,0.0434,0.0307,0.0568,0.0404,0.1451,0.6582,0.0254
vasc,0.0,0.0938,0.0,0.0,0.0312,0.0938,0.7812
