,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5516,0.1581,0.1871,0.029,0.0258,0.0355,0.0129
bcc,0.148,0.51,0.078,0.104,0.054,0.066,0.04
bkl,0.1147,0.0807,0.4963,0.033,0.1486,0.122,0.0046
df,0.1357,0.0571,0.0643,0.4214,0.0357,0.1571,0.1286
mel,0.0963,0.0587,0.2193,0.0294,0.3936,0.178,0.0248
nv,0.0362,0.0349,0.0853,0.0603,0.1264,0.6441,0.0129
vasc,0.0,0.1125,0.0,0.025,0.0625,0.075,0.725
