,precision,recall,f1-score,support,auc
nv,0.8812664907651715,0.49962602842183995,0.637708830548926,1337,0.7858495520297905
mel,0.2512437810945274,0.463302752293578,0.3258064516129032,218,0.71121826808403
bkl,0.4292929292929293,0.38990825688073394,0.40865384615384615,218,0.7891973380555828
bcc,0.16477272727272727,0.29,0.21014492753623187,100,0.7333456464379946
akiec,0.17766497461928935,0.5645161290322581,0.2702702702702703,62,0.838350883633997
vasc,0.2549019607843137,0.8125,0.3880597014925373,32,0.972682119205298
df,0.07407407407407407,0.42857142857142855,0.12631578947368421,28,0.8134577674486165
