,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5645,0.1452,0.129,0.0161,0.0323,0.0806,0.0323
bcc,0.26,0.29,0.1,0.08,0.06,0.11,0.1
bkl,0.1055,0.1468,0.3899,0.0183,0.1789,0.156,0.0046
df,0.1429,0.0714,0.0714,0.4286,0.0357,0.1429,0.1071
mel,0.1101,0.0826,0.1468,0.0183,0.4633,0.156,0.0229
nv,0.0636,0.0643,0.0456,0.098,0.1877,0.4996,0.0411
vasc,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.8125
