,precision,recall,f1-score,support,auc
nv,0.8943661971830986,0.5699326851159312,0.6962083142987665,1337,0.7943224521623287
mel,0.2356164383561644,0.3944954128440367,0.2950257289879931,218,0.7076972322179944
bkl,0.3568627450980392,0.41743119266055045,0.38477801268498946,218,0.7479155157904519
bcc,0.21782178217821782,0.22,0.21890547263681592,100,0.8064432717678099
akiec,0.17791411042944785,0.46774193548387094,0.2577777777777778,62,0.8605794102431454
vasc,0.17391304347826086,0.75,0.2823529411764706,32,0.9094020631686194
df,0.05785123966942149,0.25,0.09395973154362416,28,0.814075096230663
