,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.4677,0.1613,0.1935,0.0645,0.0323,0.0484,0.0323
bcc,0.15,0.22,0.14,0.11,0.08,0.09,0.21
bkl,0.1193,0.0688,0.4174,0.0183,0.1835,0.1468,0.0459
df,0.2143,0.0357,0.0,0.25,0.0714,0.1429,0.2857
mel,0.078,0.0505,0.2202,0.0275,0.3945,0.1789,0.0505
nv,0.0524,0.0307,0.0673,0.0658,0.1675,0.5699,0.0464
vasc,0.0,0.0312,0.0,0.0312,0.0938,0.0938,0.75
