concept_name,group_norm,is_zeroed
asymmetry,4.928591728210449,False
border_irregularity,4.517002582550049,False
colour_variation,4.69633150100708,False
diameter_large,4.445338249206543,False
atypical_pigment_network,5.011836528778076,False
blue_white_veil,4.704782009124756,False
atypical_vascular_pattern,4.417158126831055,False
irregular_streaks,4.408193588256836,False
irregular_pigmentation,4.481685161590576,False
irregular_dots_globules,4.461801528930664,False
regression_structures,4.009956359863281,False
symmetric_uniform,4.872643947601318,False
reticular_network,4.576098918914795,False
arborizing_vessels,4.278095245361328,False
blue_grey_ovoid_nests,4.152085781097412,False
ulceration,4.561405181884766,False
scaly_surface,4.5722174644470215,False
strawberry_pattern,4.62161922454834,False
milia_like_cysts,4.3252387046813965,False
comedo_like_openings,4.612600326538086,False
cerebriform_surface,4.694479942321777,False
central_white_patch,4.670433521270752,False
red_lacunae,4.480198860168457,False
healthy_skin,4.7537360191345215,False
