epoch,train_loss,val_loss,val_balanced_acc,lr,r_perp_train,r_perp_val
1,1.7024151824610585,1.4386769533157349,0.4576731078720787,0.001,0.16549047254599059,0.29726120829582214
2,1.4935320042992737,1.3500564098358154,0.5004443614096435,0.001,0.201753807755617,0.30876004695892334
3,1.3933661830130437,1.3247841596603394,0.529655726763462,0.001,0.2223406474177654,0.3034783899784088
4,1.3399066291268533,1.293117880821228,0.5421250947573362,0.001,0.2256421773479535,0.30027368664741516
5,1.3240186220046837,1.2639312744140625,0.5431737495672567,0.001,0.22914615273475647,0.30618757009506226
6,1.3007209632348118,1.220323085784912,0.5768627314057875,0.001,0.22678462587870085,0.2885390818119049
7,1.2704968842771789,1.2084155082702637,0.5525173163512143,0.001,0.22872594801279214,0.29457420110702515
8,1.2714305260463643,1.214827060699463,0.5638961022936352,0.001,0.22215877587978655,0.2871796488761902
9,1.2387247628679097,1.2329989671707153,0.5816478656813799,0.001,0.22375961736990854,0.2801837623119354
10,1.254049264674499,1.2092643976211548,0.575301744951812,0.001,0.2217252879188611,0.277532696723938
11,1.2169252494702092,1.2138314247131348,0.5496734262319023,0.001,0.21973650787885374,0.28113600611686707
12,1.2186468883034673,1.232735276222229,0.5791127412842731,0.001,0.21522022898380572,0.26755180954933167
13,1.1899205989721942,1.212807536125183,0.5747811966834051,0.001,0.21511105791880533,0.2674991488456726
14,1.1992112941626238,1.22219717502594,0.5674107751935237,0.001,0.21477506309747696,0.2601154148578644
15,1.2123139004329813,1.1772197484970093,0.5837768848936307,0.001,0.21453069093135688,0.2636354863643646
16,1.187510458654296,1.1880638599395752,0.5886162220444147,0.001,0.21773081502089134,0.262423574924469
17,1.188512633017052,1.2031317949295044,0.5836950566975884,0.001,0.22092004177662042,0.26430821418762207
18,1.1657465980961157,1.2041497230529785,0.5826981969306291,0.001,0.22386098079956496,0.262643039226532
19,1.156284023506828,1.189780831336975,0.577426087713116,0.001,0.21743130683898926,0.2570332884788513
20,1.1734163747417516,1.1795179843902588,0.5870066046332862,0.001,0.21630607258815032,0.25375351309776306
21,1.158434278432087,1.2056416273117065,0.572492723726065,0.001,0.21635872756059354,0.25564560294151306
22,1.1560517317548957,1.1851509809494019,0.5850862686657933,0.001,0.21676637461552253,0.2529297471046448
23,1.1358582488595652,1.1942265033721924,0.5644322624376621,0.0005,0.2132891731766554,0.2479785531759262
24,1.122901342022306,1.1991711854934692,0.5858410935118596,0.0005,0.21224598758495772,0.2456285059452057
25,1.1112826300698317,1.1710660457611084,0.57652198575887,0.0005,0.21103341247026736,0.24530735611915588
26,1.1248084623607066,1.175956130027771,0.5847605356334046,0.0005,0.20897259505895469,0.24194064736366272
27,1.1297999664754033,1.173770785331726,0.593606343533364,0.0005,0.20753185336406416,0.23871824145317078
28,1.1266877894862144,1.2318743467330933,0.5555734987100481,0.0005,0.21090297458263543,0.23637384176254272
29,1.1499726376427446,1.1692836284637451,0.5955324725605158,0.0005,0.20870031760289118,0.23773476481437683
30,1.11805761896965,1.1870862245559692,0.5730071556499345,0.0005,0.20897546238624132,0.23851515352725983
31,1.1212295412664968,1.2055038213729858,0.5957733704550575,0.0005,0.20869791221160156,0.23920634388923645
32,1.1021899014484235,1.1828535795211792,0.5896178565267911,0.0005,0.2078555885415811,0.24061384797096252
33,1.1161859072947655,1.1917709112167358,0.5850695904069979,0.0005,0.20885122796663871,0.2390729784965515
34,1.1071326648267437,1.1625348329544067,0.5946991459672238,0.0005,0.2108434054713983,0.23773013055324554
35,1.1161090390532769,1.184508204460144,0.5896356486101355,0.0005,0.2093056388772451,0.23607484996318817
36,1.1163888770752588,1.1866075992584229,0.5953497453646016,0.0005,0.20910665622124305,0.2372453510761261
37,1.0972606960546731,1.1901053190231323,0.5917177841877893,0.0005,0.21123610379604194,0.2333904653787613
38,1.1006237663772507,1.1747549772262573,0.5900740834468642,0.00025,0.20829091851527876,0.23537226021289825
39,1.1187997452670186,1.1755861043930054,0.5841685775974698,0.00025,0.20732125697227624,0.23435547947883606
40,1.0904083795246355,1.1761345863342285,0.587883263056809,0.00025,0.2072226548424134,0.23355528712272644
41,1.0874701280359496,1.1690131425857544,0.5922980861837397,0.00025,0.20728750354968584,0.2333744466304779
42,1.0982429032971763,1.1636205911636353,0.5888644941392264,0.00025,0.20650818256231454,0.23292115330696106
43,1.0785083918720553,1.1685889959335327,0.5883258105131004,0.00025,0.2066867139476996,0.2302502691745758
44,1.0955762161884435,1.1808645725250244,0.58269580126185,0.000125,0.2056297499399919,0.23047426342964172
45,1.0910231852943075,1.180147409439087,0.5863148691565427,0.000125,0.20640438279280296,0.23119987547397614
46,1.10110706829843,1.1815788745880127,0.5951746451118501,0.000125,0.20529910119680259,0.23103028535842896
