seed,balanced_accuracy,macro_f1,weighted_f1,top1_accuracy,auc_ovr_weighted,r_perp_val_at_best,r_perp_train_at_best,r_sparse_train_at_best,n_selected
45,0.509333393211264,0.38232403383477115,0.5888713622281428,0.5398496240601504,0.8062516046002118,0.16390807926654816,0.11212921916292264,129.1116805443397,24.0
mean,0.509333393211264,0.38232403383477115,0.5888713622281428,0.5398496240601504,0.8062516046002118,0.16390807926654816,0.11212921916292264,129.1116805443397,
std,,,,,,,,,
