# seed=43
lambda,n_active,val_loss,val_balacc,val_auc,actual_epochs,concepts_just_eliminated,norm_asymmetry,norm_border_irregularity,norm_colour_variation,norm_diameter_large,norm_atypical_pigment_network,norm_blue_white_veil,norm_atypical_vascular_pattern,norm_irregular_streaks,norm_irregular_pigmentation,norm_irregular_dots_globules,norm_regression_structures,norm_symmetric_uniform,norm_reticular_network,norm_arborizing_vessels,norm_blue_grey_ovoid_nests,norm_ulceration,norm_scaly_surface,norm_strawberry_pattern,norm_milia_like_cysts,norm_comedo_like_openings,norm_cerebriform_surface,norm_central_white_patch,norm_red_lacunae,norm_healthy_skin
0.01,24,1.29494209587574,0.600979088584166,0.8520411407474027,50,,7.442054748535156,7.056626796722412,7.317791938781738,7.86453104019165,7.527005195617676,7.343843936920166,7.192295074462891,7.596377849578857,6.858503341674805,7.214829444885254,6.668338775634766,7.440881729125977,7.832735061645508,7.598626613616943,7.2814226150512695,7.025041103363037,7.795732021331787,7.386206150054932,7.127950191497803,7.034529685974121,7.308992862701416,7.232275009155273,7.734241962432861,7.163947582244873
0.0115,24,1.3209928199648857,0.5688589676823675,0.8515242861531769,15,,7.466716766357422,7.0033369064331055,7.279754161834717,7.852900505065918,7.584153175354004,7.411016464233398,7.2161078453063965,7.470337390899658,6.887501239776611,7.227741718292236,6.409224510192871,7.440971851348877,7.879315376281738,7.6437506675720215,7.238086223602295,6.985700607299805,7.877840518951416,7.3605241775512695,7.105598449707031,7.077486515045166,7.37226676940918,7.2920451164245605,7.783872127532959,7.193154811859131
0.013224999999999999,24,1.3361003547906876,0.554105019757631,0.8496712241939299,17,,7.6582112312316895,7.046823024749756,7.363269329071045,7.8954620361328125,7.771448135375977,7.593898296356201,7.375343322753906,7.432336330413818,6.971695899963379,7.284827709197998,6.232859134674072,7.514171123504639,8.009722709655762,7.771069049835205,7.3172502517700195,7.027495384216309,7.98356819152832,7.423176288604736,7.191070079803467,7.187140941619873,7.56312894821167,7.392332553863525,7.938085556030273,7.280835151672363
0.015208749999999998,24,1.3167547807097435,0.5701546137682524,0.8488524400920672,19,,7.861562728881836,7.202296257019043,7.546679973602295,8.01174259185791,8.006298065185547,7.794806957244873,7.537025451660156,7.4845356941223145,7.093435287475586,7.380204200744629,6.072458267211914,7.610532283782959,8.184609413146973,7.933774471282959,7.4287519454956055,7.184774875640869,8.124424934387207,7.533613681793213,7.3526434898376465,7.320909023284912,7.819291591644287,7.534502983093262,8.064632415771484,7.382781505584717
0.017490062499999993,24,1.3172277808189392,0.5695496755115405,0.8506630897243763,31,,8.089890480041504,7.35177755355835,7.7398858070373535,8.183854103088379,8.323187828063965,8.040538787841797,7.746896743774414,7.623652458190918,7.190409183502197,7.552346706390381,5.893341541290283,7.7621846199035645,8.408135414123535,8.129182815551758,7.631664752960205,7.393325328826904,8.330767631530762,7.735696315765381,7.5434041023254395,7.503983020782471,8.055924415588379,7.7268476486206055,8.248001098632812,7.552964687347412
0.020113571874999993,24,1.3243952095508575,0.5705146536626186,0.8491630711139708,21,,8.267867088317871,7.492370128631592,7.9133830070495605,8.367000579833984,8.531501770019531,8.231207847595215,7.925713062286377,7.728704452514648,7.324501991271973,7.690286636352539,5.737890720367432,7.897202014923096,8.543055534362793,8.307086944580078,7.801300525665283,7.570774555206299,8.49892807006836,7.8878302574157715,7.720942974090576,7.675014495849609,8.248332977294922,7.901504993438721,8.418497085571289,7.705943584442139
0.023130607656249993,24,1.3219855800271034,0.5666646038401134,0.8505270731786729,36,,8.534894943237305,7.666705131530762,8.197029113769531,8.59710693359375,8.821124076843262,8.516035079956055,8.233756065368652,7.892334938049316,7.604197978973389,7.962098121643066,5.545414447784424,8.136528968811035,8.755672454833984,8.595296859741211,8.02336311340332,7.862529754638672,8.748390197753906,8.056679725646973,8.041972160339355,7.920119762420654,8.543815612792969,8.111739158630371,8.645051956176758,7.977669715881348
0.02660019880468749,24,1.3392328843474388,0.5648179026459255,0.8479116156996954,17,,8.737940788269043,7.809523105621338,8.4298677444458,8.783411026000977,9.055619239807129,8.758063316345215,8.390975952148438,8.034385681152344,7.779737949371338,8.094569206237793,5.417744159698486,8.272566795349121,8.919649124145508,8.761723518371582,8.229992866516113,8.066996574401855,8.945951461791992,8.214637756347656,8.283096313476562,8.122049331665039,8.73495864868164,8.314598083496094,8.812528610229492,8.149673461914062
0.030590228625390608,24,1.3514309450984001,0.5481014962552916,0.8496868601140197,23,,8.921874046325684,7.939696788787842,8.654096603393555,8.954569816589355,9.328377723693848,9.012053489685059,8.565431594848633,8.164572715759277,7.990828990936279,8.187254905700684,5.294310569763184,8.413984298706055,9.078740119934082,8.904956817626953,8.403063774108887,8.287263870239258,9.126839637756348,8.370620727539062,8.537263870239258,8.344501495361328,8.920430183410645,8.45003604888916,9.017403602600098,8.355252265930176
0.0351787629191992,24,1.3624247759580612,0.548860486226437,0.8472015490970095,19,,9.038983345031738,8.101656913757324,8.86851978302002,9.133140563964844,9.627569198608398,9.274110794067383,8.762805938720703,8.322763442993164,8.236587524414062,8.355152130126953,5.153319835662842,8.547032356262207,9.247976303100586,9.072484970092773,8.525218963623047,8.538323402404785,9.354574203491211,8.58969497680664,8.844328880310059,8.611557960510254,9.127786636352539,8.573007583618164,9.179789543151855,8.579507827758789
0.04045557735707907,24,1.3654581755399704,0.5553307698677623,0.850442440717381,15,,9.17357349395752,8.224470138549805,9.053021430969238,9.315051078796387,9.840311050415039,9.527992248535156,8.94261646270752,8.46212100982666,8.41613483428955,8.460392951965332,5.0460991859436035,8.6476411819458,9.373407363891602,9.184457778930664,8.627074241638184,8.734366416931152,9.512468338012695,8.741819381713867,9.032143592834473,8.759839057922363,9.231908798217773,8.646452903747559,9.306791305541992,8.72188663482666
0.04652391396064092,24,1.3669481202960014,0.5611603090955661,0.8488197148028247,17,,9.380230903625488,8.343656539916992,9.296597480773926,9.448203086853027,10.054240226745605,9.782500267028809,9.125018119812012,8.622453689575195,8.594361305236816,8.56563949584961,4.9243083000183105,8.77096176147461,9.49155044555664,9.361649513244629,8.74125862121582,8.936894416809082,9.688557624816895,8.890482902526855,9.23461627960205,8.962557792663574,9.356391906738281,8.833664894104004,9.47254467010498,8.878246307373047
