,precision,recall,f1-score,support,auc
nv,0.8910081743869209,0.48915482423335827,0.631578947368421,1337,0.7748952538573635
mel,0.2518891687657431,0.45871559633027525,0.3252032520325203,218,0.7135905789057944
bkl,0.36470588235294116,0.42660550458715596,0.39323467230443976,218,0.7660524644669657
bcc,0.22784810126582278,0.18,0.2011173184357542,100,0.7506015831134565
akiec,0.1895424836601307,0.46774193548387094,0.26976744186046514,62,0.8357391986382523
vasc,0.16901408450704225,0.75,0.27586206896551724,32,0.9391397096281202
df,0.059574468085106386,0.5,0.10646387832699619,28,0.8225542886193624
