lambda_c,val_balacc,val_auc,val_loss,r_perp_val,actual_epochs
0.001,0.5896252104798549,0.8638745923692315,1.1766218064129352,0.30661800503730774,31
0.00115,0.6037830579869754,0.8636751542559218,1.1741970241129398,0.300775408744812,19
0.0013224999999999999,0.5921523105278357,0.8612914638523438,1.1991073779521138,0.3043774664402008,16
0.0015208749999999999,0.5972493933907542,0.8631349782589137,1.1970594854060002,0.29548272490501404,14
0.0017490062499999994,0.6097839703562171,0.8626609280636837,1.2117503436423431,0.28760257363319397,20
0.0020113571874999995,0.5978818865384369,0.8626066467451945,1.227578537985824,0.27305662631988525,28
0.002313060765624999,0.5900523960777441,0.8645500530896681,1.238483673425777,0.27201735973358154,20
0.0026600198804687487,0.5978446167254103,0.8626156629732402,1.2735645191402418,0.2700793445110321,11
0.003059022862539061,0.5900239406998458,0.8634503493818567,1.2602003630335592,0.2709505558013916,15
0.0035178762919199197,0.5977322897587783,0.8605474387893248,1.2805893703172546,0.26279953122138977,18
0.004045557735707907,0.595825513173077,0.8619945097583047,1.2797430832625056,0.2615779638290405,19
0.004652391396064093,0.5983470158450495,0.8619211564667456,1.3046458224556423,0.2609311640262604,11
0.005350250105473706,0.593401168996898,0.8614323390049005,1.3080120543432892,0.25704294443130493,17
0.006152787621294761,0.6073238613373787,0.8598756001163104,1.2933467818987283,0.2574754059314728,12
0.0070757057644889754,0.5750405937876246,0.860484436883461,1.3343272685114025,0.25078457593917847,13
0.008137061629162322,0.5773380216623044,0.859461129236878,1.3567246737903593,0.25049513578414917,16
0.009357620873536667,0.5849260265759574,0.8571939154235466,1.3300855212174767,0.24696411192417145,11
0.010761264004567169,0.5785432764663982,0.8583176292758065,1.3263599812979985,0.24512521922588348,13
0.012375453605252242,0.5925059294564606,0.8578114310489665,1.3513989829410584,0.24535810947418213,14
0.014231771646040076,0.5798798904918893,0.8563532205106317,1.3743324036398152,0.24430084228515625,15
0.01636653739294609,0.5628741157227665,0.8596501897549651,1.4311104627621476,0.23688609898090363,20
0.018821518001888,0.5588887513360937,0.8563349821842826,1.3956947631285468,0.22931215167045593,30
0.021644745702171196,0.5329646654102198,0.8582174367117045,1.4007699220995415,0.2275482565164566,24
0.024891457557496874,0.5580576049946464,0.8575252290847841,1.4022552814167184,0.22264765202999115,31
0.028625176191121406,0.5610146062129595,0.857793336950792,1.4207840021074805,0.22174684703350067,11
0.03291895261978962,0.5415164681484336,0.8583692902025993,1.4557464808273326,0.21837712824344635,15
0.03785679551275806,0.539273131831533,0.8552074507004795,1.4381679702655557,0.21575792133808136,15
0.043535314839671754,0.5688178499919229,0.8526463758046204,1.415298542436706,0.21473583579063416,11
0.05006561206562252,0.5495119508628125,0.8555784555213714,1.4519512891125625,0.2103029489517212,14
0.05757545387546589,0.5458476336009694,0.8551961747056023,1.4568599903934663,0.20643463730812073,14
0.06621177195678576,0.562490831193401,0.855716303556826,1.4683131608121736,0.20280255377292633,15
0.07614353775030362,0.539673198057202,0.8530697877481861,1.4695661333900012,0.20207685232162476,12
0.08756506841284915,0.5390648256937876,0.8532522793911929,1.4804976769364273,0.19633768498897552,17
0.10069982867477653,0.5617651219486759,0.8547010580919775,1.4911488436921445,0.19337403774261475,20
0.11580480297599301,0.5508224369044691,0.8556733175772242,1.462096699430375,0.18740412592887878,22
0.13317552342239194,0.5566182006344609,0.8535331874227452,1.4905389675762024,0.18361882865428925,11
0.15315185193575073,0.5333199345220574,0.8514999363969805,1.5725400221334072,0.18031077086925507,25
0.1761246297261133,0.5426461911386037,0.8549210744668058,1.5078290160035743,0.17550794780254364,21
