,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5323,0.0968,0.1774,0.0323,0.0645,0.0645,0.0323
bcc,0.15,0.34,0.1,0.12,0.07,0.09,0.13
bkl,0.1284,0.0963,0.4358,0.0138,0.2064,0.1101,0.0092
df,0.1071,0.0714,0.0714,0.3929,0.0357,0.1786,0.1429
mel,0.0917,0.0688,0.1651,0.0183,0.4541,0.1743,0.0275
nv,0.0568,0.0411,0.0673,0.0628,0.169,0.5744,0.0284
vasc,0.0,0.0938,0.0,0.0,0.0625,0.0938,0.75
