,akiec,bcc,bkl,df,mel,nv,vasc
akiec,36,10,10,3,2,1,0
bcc,15,58,8,9,3,4,3
bkl,17,16,119,9,40,16,1
df,5,0,1,19,1,1,1
mel,26,5,43,8,110,26,0
nv,42,36,102,77,164,904,12
vasc,0,6,0,0,1,3,22
