,precision,recall,f1-score,support
nv,0.9465968586387434,0.6761406133133882,0.7888307155322862,1337
mel,0.3426791277258567,0.5045871559633027,0.40816326530612246,218
bkl,0.4204946996466431,0.5458715596330275,0.4750499001996008,218
bcc,0.44274809160305345,0.58,0.5021645021645021,100
akiec,0.2553191489361702,0.5806451612903226,0.35467980295566504,62
vasc,0.5641025641025641,0.6875,0.6197183098591549,32
df,0.152,0.6785714285714286,0.24836601307189543,28
