metric,nam_mean,nam_std,v6_logreg,delta_vs_logreg
balanced_accuracy,0.497851604961488,0.008619167102310048,0.555,-0.057148395038512045
macro_f1,0.3701461724152253,0.004333561309473093,0.448,-0.07785382758477472
weighted_f1,0.5881652469833953,0.006327148059344538,,
top1_accuracy,0.5361403508771929,0.0074482909758423225,,
auc_ovr_weighted,0.8345393132324798,0.004378836089816402,0.86,-0.025460686767520224
