epoch,train_loss,val_loss,val_balanced_acc,lr
1,1.8147078244825936,1.5972214937210083,0.37169887324656475,0.001
2,1.5954486787884727,1.5321545600891113,0.42204021966678773,0.001
3,1.5134618752739593,1.4693483114242554,0.4366869256417575,0.001
4,1.4790377192816926,1.4417991638183594,0.4781195955330908,0.001
5,1.4171667201724092,1.3860044479370117,0.5139330445064633,0.001
6,1.3968236383521775,1.382328987121582,0.5282553514986997,0.001
7,1.3571122318464521,1.3555519580841064,0.5320865052065358,0.001
8,1.3234213391290814,1.3125057220458984,0.5472518623303916,0.001
9,1.3035267440170202,1.304128885269165,0.5622984009479686,0.001
10,1.2867798168118885,1.2981767654418945,0.563812824383701,0.001
11,1.2811545543193001,1.29339599609375,0.5566732407763485,0.001
12,1.2856902223405469,1.2823631763458252,0.5633272104413247,0.001
13,1.264945667932964,1.2769567966461182,0.5691210668351098,0.001
14,1.2399572557712495,1.271126389503479,0.5635192534908976,0.001
15,1.2471937816905871,1.2820634841918945,0.5385063652373153,0.001
16,1.268448704962301,1.2511037588119507,0.5482296001341335,0.001
17,1.2559879679278612,1.2418861389160156,0.550171357476011,0.001
18,1.2171319380835994,1.2370474338531494,0.571815126539608,0.001
19,1.2341696002339109,1.2642762660980225,0.5554522060215964,0.001
20,1.2238115160326914,1.231727123260498,0.554267338102477,0.001
21,1.1982266752080908,1.2268887758255005,0.5684741675709292,0.001
22,1.1974279505688437,1.227561593055725,0.5789503955490335,0.001
23,1.2081256709549026,1.2269773483276367,0.5608417594953654,0.001
24,1.1948336802479786,1.2200349569320679,0.5897383759014804,0.001
25,1.2075806038434185,1.238409399986267,0.5548400816971079,0.001
26,1.1991982153886436,1.2276042699813843,0.5825717628437095,0.001
27,1.1883423679407878,1.2196553945541382,0.5748054919941327,0.001
28,1.183665115979026,1.2190773487091064,0.5735373135398953,0.001
29,1.1796079469257426,1.227360486984253,0.5666032753505512,0.001
30,1.1807620130962597,1.2001676559448242,0.5804106452034714,0.001
31,1.1520605757774582,1.2082667350769043,0.577119381849517,0.0005
32,1.193791762501961,1.2050626277923584,0.5856970555435195,0.0005
33,1.148347933716269,1.2041361331939697,0.5850163495924512,0.0005
34,1.1649431148015206,1.2031489610671997,0.5600237119682168,0.0005
35,1.16025469102502,1.2066439390182495,0.5673039759962634,0.0005
36,1.1456148619413709,1.1976122856140137,0.5792188956671049,0.0005
37,1.1656536563296844,1.1981847286224365,0.5545292603508811,0.00025
38,1.1343803944048494,1.2009174823760986,0.5674245944271753,0.00025
39,1.1600727548234329,1.1993091106414795,0.5687438460751205,0.00025
