,akiec,bcc,bkl,df,mel,nv,vasc
akiec,35,10,10,3,2,2,0
bcc,14,58,10,9,3,4,2
bkl,21,20,108,7,42,18,2
df,7,1,2,14,1,3,0
mel,25,14,37,6,98,36,2
nv,43,31,123,97,181,852,10
vasc,0,9,0,0,0,2,21
