metric,v5,v6,delta
balanced_accuracy,0.608,0.554709689522481,-0.053290310477518976
macro_f1,0.485,0.4479681565745756,-0.03703184342542437
auc_ovr_weighted,0.891,0.8601534924606842,-0.030846507539315837
