,precision,recall,f1-score,support
nv,0.9291166848418757,0.637247569184742,0.7559893522626442,1337
mel,0.2996941896024465,0.44954128440366975,0.3596330275229358,218
bkl,0.3724137931034483,0.4954128440366973,0.4251968503937008,218
bcc,0.40559440559440557,0.58,0.4773662551440329,100
akiec,0.2413793103448276,0.5645161290322581,0.33816425120772947,62
vasc,0.5675675675675675,0.65625,0.6086956521739131,32
df,0.10294117647058823,0.5,0.17073170731707318,28
