epoch,train_loss,val_loss,val_balanced_acc
1,1.6407947281060016,1.3614327907562256,0.5162026696104876
2,1.2909207756067995,1.2727056741714478,0.5274334402903126
3,1.2042125825248549,1.1644737720489502,0.5765113081172055
4,1.1598910165622975,1.1792798042297363,0.5857680385268816
5,1.1316194030503905,1.138228178024292,0.5846349761346978
6,1.1170653161892792,1.2487949132919312,0.5341596188340502
7,1.1131106540340532,1.1417498588562012,0.5817050479894014
8,1.1025728543747786,1.145841360092163,0.5902804959492317
9,1.068770996722116,1.1236977577209473,0.581323650816165
10,1.0424339992157463,1.128901481628418,0.5786204110300536
11,0.9952047648669439,1.1321473121643066,0.5952174679847543
12,0.9819625286203759,1.1568162441253662,0.5913113668131807
13,1.0004975845995838,1.1975494623184204,0.5824829449223711
14,1.013354592948925,1.153030514717102,0.5664141529551968
15,0.9868827510128535,1.1787872314453125,0.5844764733503913
16,0.9517153195004234,1.1457273960113525,0.5765787859195225
17,0.9554357631597016,1.207241415977478,0.5632042842250585
18,0.9405081429457772,1.164168357849121,0.5651952359022059
19,0.9294986955706783,1.1407889127731323,0.5656793032441073
20,0.9062761112289678,1.1491625308990479,0.5877294192304131
21,0.9181349133607073,1.1945582628250122,0.5559560605006696
