epoch,train_loss,val_loss,val_balanced_acc,lr,r_perp_train,r_perp_val,r_sparse_train
1,1.9692228621430783,1.9457460641860962,0.14285714285714285,0.001,0.03352506917256575,0.0,5.446801699124849
2,1.9459815095976252,1.9456743001937866,0.14285714285714285,0.001,0.0,0.0,0.0
3,1.9459566016240966,1.9457378387451172,0.14285714285714285,0.001,0.0,0.0,0.0
4,1.9459152769052253,1.945495843887329,0.14285714285714285,0.001,0.0,0.0,0.0
5,1.9458924160717175,1.9451701641082764,0.14285714285714285,0.001,0.0,0.0,0.0
6,1.9459879381843184,1.9452022314071655,0.14285714285714285,0.001,0.0,0.0,0.0
7,1.9459012696560924,1.9451347589492798,0.14285714285714285,0.001,0.0,0.0,0.0
8,1.9458692486761962,1.9451210498809814,0.14285714285714285,0.0005,0.0,0.0,0.0
9,1.945871764550333,1.945167899131775,0.14285714285714285,0.0005,0.0,0.0,0.0
10,1.9458224633597052,1.9450604915618896,0.14285714285714285,0.0005,0.0,0.0,0.0
11,1.945785260753065,1.9447829723358154,0.14285714285714285,0.0005,0.0,0.0,0.0
12,1.9458679280100835,1.9446752071380615,0.14285714285714285,0.0005,0.0,0.0,0.0
13,1.9458602424876132,1.9444822072982788,0.14285714285714285,0.0005,0.0,0.0,0.0
14,1.9458131070343958,1.9444761276245117,0.14285714285714285,0.00025,0.0,0.0,0.0
15,1.945800887016027,1.944576382637024,0.14285714285714285,0.00025,0.0,0.0,0.0
16,1.9457331970925094,1.9445008039474487,0.14285714285714285,0.00025,0.0,0.0,0.0
