seed,balanced_accuracy,macro_f1,weighted_f1,top1_accuracy,auc_ovr_weighted
42,0.5352815942898668,0.41908770260742545,0.6325722909501348,0.5899749373433584,0.8575257746183624
43,0.525308825335557,0.4037907340866681,0.6170381196223221,0.5679197994987468,0.8545974014691585
44,0.5509377653932555,0.4306578687231986,0.6321554687479856,0.5884711779448621,0.8559748455795714
45,0.521309619042918,0.4161000784308678,0.6372854360000603,0.6005012531328321,0.8490780840968363
46,0.5189078701815052,0.41476712278599015,0.6144474055408083,0.5674185463659148,0.8561089625973041
mean,0.5303491348486205,0.41688070132683,0.6266997441722622,0.5828571428571429,0.8546570136722466
std,0.013098100692610174,0.009632043199947544,0.010244210543782589,0.014619930779251335,0.003286435561708281
