,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5452,0.129,0.1839,0.0258,0.0484,0.0355,0.0323
bcc,0.124,0.482,0.098,0.08,0.07,0.078,0.068
bkl,0.1312,0.1046,0.4266,0.0248,0.2009,0.1064,0.0055
df,0.1143,0.1,0.0714,0.3786,0.0643,0.1643,0.1071
mel,0.0945,0.0633,0.1835,0.0248,0.4569,0.1541,0.0229
nv,0.0407,0.0435,0.0746,0.0594,0.1635,0.5991,0.0191
vasc,0.0,0.1375,0.0,0.0,0.075,0.075,0.7125
