,precision,recall,f1-score,support,auc
nv,0.9015748031496063,0.5138369483919222,0.6545974273463554,1337,0.7870680855610597
mel,0.20947630922693267,0.3853211009174312,0.27140549273021003,218,0.6999814138869241
bkl,0.3371212121212121,0.40825688073394495,0.36929460580912865,218,0.746937163449376
bcc,0.21333333333333335,0.16,0.18285714285714286,100,0.7910606860158312
akiec,0.14864864864864866,0.532258064516129,0.2323943661971831,62,0.8627822372044123
vasc,0.1568627450980392,0.75,0.2594594594594595,32,0.903416327050433
df,0.059322033898305086,0.25,0.0958904109589041,28,0.8137845885685235
