,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5323,0.0806,0.1613,0.0645,0.0645,0.0484,0.0484
bcc,0.23,0.16,0.12,0.12,0.06,0.09,0.22
bkl,0.156,0.055,0.4083,0.0229,0.2018,0.1147,0.0413
df,0.25,0.0,0.0714,0.25,0.0714,0.0714,0.2857
mel,0.1101,0.0229,0.2248,0.0413,0.3853,0.156,0.0596
nv,0.0755,0.0277,0.0763,0.0591,0.1922,0.5138,0.0553
vasc,0.0,0.0,0.0,0.0625,0.125,0.0625,0.75
