,precision,recall,f1-score,support,auc
nv,0.9013157894736842,0.512341062079282,0.6533142584644731,1337,0.8182418561721223
mel,0.23444976076555024,0.44954128440366975,0.3081761006289308,218,0.7274372331473001
bkl,0.3717948717948718,0.39908256880733944,0.38495575221238937,218,0.761194261021307
bcc,0.24107142857142858,0.27,0.25471698113207547,100,0.8362321899736147
akiec,0.1590909090909091,0.5645161290322581,0.24822695035460993,62,0.85136758840512
vasc,0.27710843373493976,0.71875,0.4,32,0.9667282221090168
df,0.07142857142857142,0.42857142857142855,0.12244897959183673,28,0.8371704553707604
