,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5645,0.0968,0.1613,0.0806,0.0323,0.0323,0.0323
bcc,0.19,0.27,0.11,0.12,0.09,0.09,0.13
bkl,0.1651,0.0505,0.3991,0.0367,0.2202,0.1193,0.0092
df,0.1786,0.0357,0.0357,0.4286,0.0357,0.1429,0.1429
mel,0.1009,0.0642,0.1881,0.0229,0.4495,0.1422,0.0321
nv,0.077,0.0381,0.0628,0.0935,0.1922,0.5123,0.0239
vasc,0.0,0.0625,0.0,0.0312,0.0938,0.0938,0.7188
