concept_name,group_norm,is_zeroed
asymmetry,6.745180130004883,False
border_irregularity,6.378285884857178,False
colour_variation,6.465767860412598,False
diameter_large,6.21147346496582,False
atypical_pigment_network,6.727280616760254,False
blue_white_veil,6.512258529663086,False
atypical_vascular_pattern,6.1676154136657715,False
irregular_streaks,6.300424575805664,False
irregular_pigmentation,6.195747375488281,False
irregular_dots_globules,6.093741416931152,False
regression_structures,5.807607173919678,False
symmetric_uniform,6.6460065841674805,False
reticular_network,6.255946159362793,False
arborizing_vessels,6.128261089324951,False
blue_grey_ovoid_nests,5.916178226470947,False
ulceration,6.368929386138916,False
scaly_surface,6.2163405418396,False
strawberry_pattern,6.523430347442627,False
milia_like_cysts,5.908835411071777,False
comedo_like_openings,6.293768405914307,False
cerebriform_surface,6.686547756195068,False
central_white_patch,6.287604331970215,False
red_lacunae,6.191643714904785,False
healthy_skin,6.640586853027344,False
