,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.529,0.1194,0.1581,0.0548,0.0516,0.0548,0.0323
bcc,0.154,0.356,0.122,0.132,0.066,0.084,0.086
bkl,0.1294,0.0798,0.4477,0.0349,0.1908,0.1119,0.0055
df,0.1571,0.0714,0.0357,0.4214,0.0571,0.15,0.1071
mel,0.1083,0.0431,0.1734,0.0367,0.4541,0.1541,0.0303
nv,0.0518,0.0278,0.077,0.0884,0.1737,0.5587,0.0226
vasc,0.0062,0.125,0.0,0.0125,0.0625,0.0938,0.7
