,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5645,0.0968,0.1452,0.0161,0.0484,0.0968,0.0323
bcc,0.15,0.39,0.1,0.07,0.06,0.11,0.12
bkl,0.1606,0.0826,0.3945,0.0092,0.1972,0.1422,0.0138
df,0.2143,0.0357,0.0357,0.3571,0.0357,0.1786,0.1429
mel,0.1147,0.0596,0.1422,0.0138,0.4587,0.1927,0.0183
nv,0.0628,0.0449,0.0591,0.0411,0.1608,0.6073,0.0239
vasc,0.0,0.0938,0.0,0.0,0.0625,0.0938,0.75
