,precision,recall,f1-score,support,auc
nv,0.8923076923076924,0.6073298429319371,0.7227414330218068,1337,0.82757409525022
mel,0.2702702702702703,0.45871559633027525,0.3401360544217687,218,0.7289267035979617
bkl,0.39814814814814814,0.3944954128440367,0.39631336405529954,218,0.7969002493636839
bcc,0.2785714285714286,0.39,0.325,100,0.8375250659630606
akiec,0.175,0.5645161290322581,0.26717557251908397,62,0.873979940924186
vasc,0.2962962962962963,0.75,0.4247787610619469,32,0.9585774325012736
df,0.1282051282051282,0.35714285714285715,0.18867924528301888,28,0.8467390514924832
