concept_id,tier,t1_auc_max,t2_auc_max,t3_auc_max,best_template,best_auc
asymmetry,1,0.6203276693573222,0.6306304692575184,0.6448832728666383,t3,0.6448832728666383
border_irregularity,1,0.6602919189858679,0.5739992087629503,0.6033296651516276,t1,0.6602919189858679
colour_variation,1,0.7118859901160786,0.5974142479988671,0.6232286377235751,t1,0.7118859901160786
diameter_large,1,0.631777004336069,0.5903228632103994,0.5845153771413415,t1,0.631777004336069
atypical_pigment_network,2,0.5821687453497965,0.6158983856066788,0.6240994972160594,t3,0.6240994972160594
blue_white_veil,2,0.6284441711454729,0.6002621113216581,0.7367475002873234,t3,0.7367475002873234
atypical_vascular_pattern,2,0.5860801144371539,0.6322832232457353,0.6749580507987587,t3,0.6749580507987587
irregular_streaks,2,0.6876959477761069,0.5571561645121191,0.7016622581051222,t3,0.7016622581051222
irregular_pigmentation,2,0.6245131335234999,0.6552455349616633,0.6491265484756323,t2,0.6552455349616633
irregular_dots_globules,2,0.5902822266129883,0.6061290208762129,0.6054600484295518,t2,0.6061290208762129
regression_structures,2,0.5968679544499216,0.6247008275395449,0.6342684748879439,t3,0.6342684748879439
symmetric_uniform,3,0.6345609800437428,0.5975488720938336,0.5902054490832215,t1,0.6345609800437428
reticular_network,3,0.5947881825262491,0.6030128612547851,0.6294799448339271,t3,0.6294799448339271
arborizing_vessels,3,0.5972726345496355,0.5475062628638636,0.5996627829740173,t3,0.5996627829740173
blue_grey_ovoid_nests,3,0.6112895069532238,0.5932687248848378,0.7270325249971268,t3,0.7270325249971268
ulceration,3,0.5506971933563061,0.5677522363123858,0.7031433168601311,t3,0.7031433168601311
scaly_surface,3,0.5797264682220434,0.5729102743929166,0.5340427211811012,t1,0.5797264682220434
strawberry_pattern,3,0.662923801861855,0.6114872952505547,0.6324525131329615,t1,0.662923801861855
milia_like_cysts,3,0.6714716699229974,0.5949378038788599,0.6343724859211586,t1,0.6714716699229974
comedo_like_openings,3,0.6265878127016025,0.6199313483848199,0.6108958740374669,t1,0.6265878127016025
cerebriform_surface,3,0.5054901202140836,0.6180230790585178,0.5597658629541464,t2,0.6180230790585178
central_white_patch,3,0.6632074280187829,0.5936461431127535,0.6557154350074703,t1,0.6632074280187829
red_lacunae,3,0.6330861209266465,0.6258921787791123,0.6460993151416248,t3,0.6460993151416248
healthy_skin,3,0.54334256630544,0.5853844102698973,0.5779643502190512,t2,0.5853844102698973
