epoch,train_loss,val_loss,val_balanced_acc,lr,r_perp_train,r_perp_val
1,1.8631270976473782,1.5086385011672974,0.48923223680072825,0.001,0.13801678699942735,0.2537413537502289
2,1.6098267632484584,1.3643823862075806,0.5491826102179348,0.001,0.13840868410009605,0.22795209288597107
3,1.5199791130335005,1.3466354608535767,0.5290051000766127,0.001,0.13128642422648576,0.20153452455997467
4,1.4497459196232214,1.2706375122070312,0.5686039981225294,0.001,0.1231492803646968,0.20246341824531555
5,1.430899167249985,1.2690706253051758,0.558454736564963,0.001,0.11910775705025746,0.18633052706718445
6,1.4423492977233117,1.3200558423995972,0.5427845417870341,0.001,0.11761597715891324,0.18650464713573456
7,1.3797823860441698,1.2388533353805542,0.5739688352909725,0.001,0.11559816363912362,0.1797424703836441
8,1.3843577957798596,1.255444884300232,0.5530278220197355,0.001,0.115747670428111,0.1765538454055786
9,1.3842596609089197,1.2865389585494995,0.540674579568728,0.001,0.11536483094096184,0.17117971181869507
10,1.3494265416043416,1.2247884273529053,0.5678959364639359,0.001,0.11252008693722579,0.16295796632766724
11,1.3479642857843654,1.2150506973266602,0.5735749601581042,0.001,0.11303000897169113,0.16312284767627716
12,1.3330466464326436,1.2412068843841553,0.5894378881214004,0.001,0.11249208106444432,0.16898320615291595
13,1.3286192229680798,1.1988677978515625,0.5863985030177428,0.001,0.11217541620135307,0.1751839816570282
14,1.3540153461141227,1.2138444185256958,0.5802869680787837,0.001,0.11579417150754195,0.1692514717578888
15,1.3135287209494635,1.1926522254943848,0.58647091136471,0.001,0.11263575834723619,0.16040535271167755
16,1.307629476088279,1.1976412534713745,0.6016973104720816,0.001,0.11179707743800603,0.1532604843378067
17,1.2956604870616564,1.2175871133804321,0.5842545971635236,0.001,0.10909889122614494,0.15205930173397064
18,1.2909528543834534,1.177526831626892,0.6095508967488082,0.001,0.10929981332558852,0.14935751259326935
19,1.2952044663226776,1.1965500116348267,0.5979654811079705,0.001,0.10964261740446091,0.14117899537086487
20,1.2876689571265503,1.259726643562317,0.571998382730906,0.001,0.10747738411793342,0.15080305933952332
21,1.2941359197728128,1.2396388053894043,0.573030826380276,0.001,0.10766633771933042,0.1494055986404419
22,1.294433401613329,1.1954853534698486,0.5853922176232176,0.001,0.10755988582968712,0.14564336836338043
23,1.293453701066459,1.2077267169952393,0.5879768198717,0.001,0.10806086286902428,0.14310207962989807
24,1.2767236389255687,1.2201277017593384,0.5842978278833694,0.001,0.10811462826453723,0.14141176640987396
25,1.2618647360805406,1.1691343784332275,0.601363944647378,0.0005,0.1056611962043322,0.12688802182674408
26,1.2546294351669136,1.181398868560791,0.5947098317145024,0.0005,0.1041105125959103,0.1290462613105774
27,1.2593488727355377,1.1882493495941162,0.6064396163068724,0.0005,0.10416388225096923,0.1301603466272354
28,1.257758180615616,1.179722547531128,0.5893219385348936,0.0005,0.1032863468504869,0.12922322750091553
29,1.2660530675234478,1.2068467140197754,0.5862892216728681,0.0005,0.10492532557019821,0.13077551126480103
30,1.2456104035399012,1.1677073240280151,0.5953342721067011,0.0005,0.10378502595883149,0.12847961485385895
31,1.2288308739754883,1.1900559663772583,0.5922809568850729,0.00025,0.10290362284733699,0.12177865952253342
32,1.2418452028094156,1.1820886135101318,0.6026717750927573,0.00025,0.10332549134126076,0.12066059559583664
33,1.2251187343956393,1.1847280263900757,0.592402062321345,0.00025,0.10182026200569592,0.12074058502912521
