,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.4839,0.0161,0.1774,0.1613,0.0484,0.0484,0.0645
bcc,0.18,0.01,0.21,0.19,0.05,0.1,0.26
bkl,0.1147,0.0,0.5183,0.0413,0.1651,0.0963,0.0642
df,0.1071,0.0,0.0357,0.3929,0.0357,0.1786,0.25
mel,0.078,0.0,0.2798,0.0596,0.3624,0.1468,0.0734
nv,0.0733,0.0022,0.1354,0.101,0.1503,0.4413,0.0965
vasc,0.0312,0.0,0.0312,0.0312,0.0625,0.0938,0.75
