,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5645,0.1452,0.1774,0.0484,0.0323,0.0161,0.0161
bcc,0.16,0.47,0.06,0.15,0.07,0.05,0.04
bkl,0.1284,0.078,0.4771,0.0321,0.1835,0.0963,0.0046
df,0.1071,0.0357,0.1071,0.4643,0.0357,0.1071,0.1429
mel,0.0917,0.0596,0.1881,0.0321,0.4495,0.156,0.0229
nv,0.0434,0.0344,0.083,0.0696,0.1526,0.6051,0.012
vasc,0.0,0.125,0.0,0.0,0.0625,0.0625,0.75
