seed,balanced_accuracy,macro_f1,weighted_f1,top1_accuracy,auc_ovr_weighted,r_perp_val_at_best,r_perp_train_at_best
42,0.5400704801954437,0.4164950205534896,0.6143908973450085,0.5664160401002506,0.8544194584086595,0.3151448965072632,0.2812205438430493
mean,0.5400704801954437,0.4164950205534896,0.6143908973450085,0.5664160401002506,0.8544194584086595,0.3151448965072632,0.2812205438430493
std,,,,,,,
