metric,v5,v6,v6b,v6b_vs_v5,v6b_vs_v6
balanced_accuracy,0.608,0.555,0.5495255986810169,-0.05847440131898307,-0.005474401318983135
macro_f1,0.485,0.448,0.43270246188529765,-0.052297538114702335,-0.015297538114702358
auc_ovr_weighted,0.891,0.86,0.8574648486232119,-0.033535151376788086,-0.0025351513767880585
top1_accuracy,0.636,0.595,0.5899749373433584,-0.046025062656641635,-0.005025062656641599
